date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:11	235/235	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202017%2004:25:11%20GMT	http://gramziu.pl/robots.txt		(from )
09:55:12	30814/30814	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202017%2004:25:12%20GMT	http://gramziu.pl/phpBB/?style=5	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/index50ba.html	(from )
09:55:13	2978/2978	---M--	200	added ('OK')	image/gif	etag:%22ba2-5730bcf9-b9dd8820eee50b8f%22	http://gramziu.pl/phpBB/styles/anami/theme/images/apple-touch-icon-precomposed.gif	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/styles/anami/theme/images/apple-touch-icon-precomposed.gif	(from http://gramziu.pl/phpBB/?style=5)
09:55:13	35209/35209	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2007%20Dec%202015%2021:06:51%20GMT	http://gramziu.pl/phpBB/feed.php	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/feed.php	(from http://gramziu.pl/phpBB/?style=5)
09:55:14	3165/3165	---M--	200	added ('OK')	image/gif	etag:%22c5d-5730bcf9-93dc7f4d04f5c884%22	http://gramziu.pl/phpBB/styles/anami/theme/images/favicon.gif	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/styles/anami/theme/images/favicon.gif	(from http://gramziu.pl/phpBB/?style=5)
09:55:14	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-5730bcf9-c5f118d881cb45e%22	http://gramziu.pl/phpBB/styles/anami/theme/images/favicon.ico	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/styles/anami/theme/images/favicon.ico	(from http://gramziu.pl/phpBB/?style=5)
09:55:15	36565/36565	---MC-	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Oct%202015%2017:41:01%20GMT	http://gramziu.pl/phpBB/feed.php?mode=topics	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/feed9d17.php	(from http://gramziu.pl/phpBB/?style=5)
09:55:16	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	E:/My%20Web%20Sites/Thisun1/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://gramziu.pl/phpBB/?style=5)
09:55:16	26675/26675	---M-Z	200	added ('OK')	text/css	etag:%226833-5730bcf7-a088668dadd876b9%22	http://gramziu.pl/phpBB/styles/anami/theme/colours.css?assets_version=174	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/styles/anami/theme/colours6148.css	(from http://gramziu.pl/phpBB/?style=5)
09:55:17	99731/99731	---M-Z	200	added ('OK')	text/css	etag:%2218593-5730bcf8-b946cb2187c0514c%22	http://gramziu.pl/phpBB/styles/anami/theme/stylesheet.css?assets_version=174	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/styles/anami/theme/stylesheet6148.css	(from http://gramziu.pl/phpBB/?style=5)
09:55:18	28278/28278	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202017%2004:25:17%20GMT	http://gramziu.pl/phpBB/index.php?style=5&sid=078bc427d0fe3325946ee755259d7382	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/indexe360.html	(from http://gramziu.pl/phpBB/?style=5)
09:55:19	13734/13734	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202017%2004:25:18%20GMT	http://gramziu.pl/phpBB/ucp.php?style=5&mode=login&sid=078bc427d0fe3325946ee755259d7382	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/ucpfe73.html	(from http://gramziu.pl/phpBB/?style=5)
09:55:19	55301/55301	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202017%2004:25:18%20GMT	http://gramziu.pl/phpBB/faq.php?style=5&sid=078bc427d0fe3325946ee755259d7382	E:/My%20Web%20Sites/Thisun1/gramziu.pl/phpBB/faqe360.html	(from http://gramziu.pl/phpBB/?style=5)
